id,display name,username,weight
715850721346908160,,Matthew_C_Beck,1
458832420,,wit_cheese,1
1510173091452039169,,davisvisions,1
1823188384669433856,,tenronotrin,1
1501257298324312072,,JumperKid_0,1
1334227041886023682,,figuregpt,1
1630194909905928192,,TheBullRunAngel,1
1716134960409526272,,bluntcalls7,1
1355221266425372672,,rolling__sloane,1
1497942439,,heethjain21,1
1168926772194349064,,jst_here_4_news,1
376485996,,AkratOG,1
3244415634,,briandcolwell,1
165578529,,ZeroXDunk,1
2209900057,,anthony_harley1,1
1381227290189836288,,VeVeVersum,1
1433208842062544900,,bianconchain,1
162605602,,CrayonMurders,1
1125393857401839619,,ManLykOsh,1
1862504502122717184,,saintience21,1
18796360,,brianhc,1
1704601405665792001,,unsact_degen,1
1847974798040985600,,taoinsider,1
1715875521534345216,,ozzyxbt,1
1697693899882438656,,Wizzystar001,1
1632000042142924802,,coinsatoshi666,1
1281907939490648066,,SeekingAnon,1
879496367579770880,,yeswondwerr,1
1684503851620089856,,rivoxyz,1
1399308311619637250,,jasminervaa,1
1340508340061831168,,rex_tempo,1
325452174,,keiver,1
1586026160131129349,,Myrizle,1
1692187562389950464,,NyxNoLimits,1
1675082592578678786,,Oneiros_42,1
1331308961711185920,,SpencerMarell,1
1001348298039492608,,kirills4ilov,1
1894506680958029825,,theospress,1
952876022281760768,,ThorpePhilippe,1
1875262292474109952,,YourNPCBoss,1
1439552105401012228,,wolf_mikhail,1
1455213220956803076,,Briannnnnnnn10,1
1525480246190886913,,phoenixmocktail,1
1538542899343904769,,lebigmoha,1
1333371637450698756,,bitcoinzhang1,1
1667191337353977864,,StellarCocoon,1
1511303923109437442,,xkonjin,1
1367004748130443264,,dltrader0,1
1031779212661870592,,0xJChen,1
844628496,,Shaifing,1
1413312254842314758,,Vlad_Lapwing,1
807235926,,defi_only,1
1516594265907994626,,zoan37,1
1470274919166525442,,GabeRabello,1
1804138165587836929,,sportstensor,1
1112992835244965888,,0xTols,1
1227664428,,thangnd217,1
927882779534200832,,Machine__Trader,1
1412498091270455300,,JoshPurtell,1
1260017196,,anushkmittal,1
881458279335026688,,avaitopiper,1
1350210270329769985,,4lili_lili4,1
1866315704896540672,,WalkDog1984,1
940951544048115713,,0xalexanderhg,1
1784270737664036864,,InspectorSlurp,1
345117454,,CryptoBalo,1
1218547306070511618,,ChelseaTactic,1
3324460963,,anthonybuitran,1
1349767307111890944,,Casp3rsky,1
1382128078608945152,,truenorth_17,1
1752477755982106624,,0xnobu_,1
1862610926299439104,,ToshiGrow,1
1476334986764693512,,Reem_onChain,1
1753108037571870720,,pafilesti144011,1
1893014903449120768,,paintoprize,1
305007006,,muststopmax,1
1660593540957712384,,ElProfCrypto,1
1521872608244940807,,vittaclo,1
37745926,,xKINGCOYx,1
99455498,,InCrypto26,1
749989940415631360,,CharKwayTeow00,1
1506645234163363847,,tuncaliyasin,1
1367192616165588994,,xavi3rlu,1
802402221610700800,,KeremDillice,1
1518444247065645056,,0xBenjin,1
1518816378626592774,,Jack__Saigon,1
1727663969085632512,,kouv_a,1
48439045,,shingiti,1
909896826362503168,,AISOMA_AG,1
1400903393930092547,,sososanti_,1
1630084316146417664,,RokoNetwork,1
1496046990718906370,,Pirate_Monkeyy,1
1375750449387745284,,Wolfquant,1
1661829806890049536,,rthurding,1
903003343097757696,,joajoeth,1
1437504923919323136,,ArnavSi54532426,1
1461008972421468160,,Vu_Benson,1
1499057883908132864,,10000KILOS,1
1136021622807236609,,TheACKx,1
1782030216832933888,,Not_the_cabal,1
1687350121984356352,,WilliamsMi60898,1
586816897,,quadron3stat3,1
123496832,,tzedonn,1
1748139548268249089,,SnorlaxGolfwang,1
15037657,,sergey_now_ikov,1
1530811388435648512,,CryptoWhalesAMA,1
894867236242034688,,josef_le_nin,1
1850559897999421441,,endgame_summit,1
402950300,,chiasticnuance,1
996556236404346880,,crypto_daha,1
1075989696700809216,,suragsheth,1
819748581984833537,,0xPajke,1
949144958841139206,,eth_crypt,1
234470696,,privateAIcom,1
19893224,,andrewxhill,1
862531464,,tredda99,1
1489422104,,Nate_Conrad,1
1720467055332208640,,pes6master,1
3748835652,,sj_baek_,1
1875874053476753408,,coinai_sh,1
26044994,,citizenwrit,1
752005031226990593,,degen_mike14,1
1273231061397405697,,ThePresidente47,1
1794072002535538688,,WomenOnTao,1
1663612551656263680,,MaitYesh,1
